query_number,query_title,query_url,candidate_number,candidate_type,candidate_title,candidate_url,candidate_state,value_score,classification,confidence,reasoning,suggested_action
646,Do we want to have weakref support?,https://github.com/micropython/micropython/issues/646,18822,pull_request,py: add weakref module with `ref` and `finalize` classes,https://github.com/micropython/micropython/pull/18822,merged,1.9395239353179932,,,,
9563,dac.write_timed() does not work with NUCLEO_G474RE,https://github.com/micropython/micropython/issues/9563,11913,pull_request,stm32: Fix dac.write_timed() does not work.,https://github.com/micropython/micropython/pull/11913,merged,1.886834979057312,,,,
12127,RFC: Version nightly builds by the next release rather than previous.,https://github.com/micropython/micropython/issues/12127,12581,pull_request,all: Switch to new versioning scheme described in #12127.,https://github.com/micropython/micropython/pull/12581,merged,1.7640961408615112,,,,
7455,Set threshold for Coveralls failure,https://github.com/micropython/micropython/issues/7455,7457,pull_request,github/workflows: Switch from Coveralls to Codecov.,https://github.com/micropython/micropython/pull/7457,merged,1.6923854351043701,,,,
15456,docs: explain optional global-interpreter-lock,https://github.com/micropython/micropython/issues/15456,2165,pull_request,"Multi-threading support: core, unix and cc3200",https://github.com/micropython/micropython/pull/2165,merged,1.6089460849761963,,,,
15830,Pre-commit spellchecker rejects commits on the basis of filenames not involved in the commit itself.,https://github.com/micropython/micropython/issues/15830,12157,pull_request,Pre-commit for codespell,https://github.com/micropython/micropython/pull/12157,merged,1.5416576862335205,,,,
5692,Add pop() in bytearray,https://github.com/micropython/micropython/issues/5692,52,pull_request,Tweaks to list.pop.,https://github.com/micropython/micropython/pull/52,merged,1.4459421634674072,,,,
9003,"Pico W ENOMEM error when (re)using PIO (rp2_pio_init, CYW43)",https://github.com/micropython/micropython/issues/9003,10652,pull_request,rp2/rp2_pio: Track use of PIO resources and free them on soft reset.,https://github.com/micropython/micropython/pull/10652,merged,1.4268481731414795,,,,
15182,libhydrogen error when trying to build mboot with packing enabled,https://github.com/micropython/micropython/issues/15182,17364,pull_request,lib/libhydrogen: Update to latest release.,https://github.com/micropython/micropython/pull/17364,merged,1.4210848808288574,,,,
9643,Chained exceptions?,https://github.com/micropython/micropython/issues/9643,12621,pull_request,"py/vm.c: don't complain about ""raise … from None"".",https://github.com/micropython/micropython/pull/12621,merged,1.4153834581375122,,,,
6186,Pyboard D build does not include btree,https://github.com/micropython/micropython/issues/6186,9992,pull_request,extmod/extmod.cmake: Add MICROPY_PY_BTREE compiler definition.,https://github.com/micropython/micropython/pull/9992,merged,1.316575050354004,,,,
3627,raising exception in __del__ finaliser results in deadlock with multithread enabled,https://github.com/micropython/micropython/issues/3627,425,pull_request,Implement del,https://github.com/micropython/micropython/pull/425,merged,1.29457426071167,,,,
17399,docs: pots/unix (standalone) has no instructions to build static linked micropython instance,https://github.com/micropython/micropython/issues/17399,15724,pull_request,unix: Expand the build steps in the README.,https://github.com/micropython/micropython/pull/15724,merged,1.2686965465545654,,,,
6344,nRF microbit (nRF51822) issues,https://github.com/micropython/micropython/issues/6344,14142,pull_request,nrf/main: Fix build of microbit when SD is used.,https://github.com/micropython/micropython/pull/14142,merged,1.1099250316619873,,,,
1159,Inheritance for native types is not supported,https://github.com/micropython/micropython/issues/1159,528,pull_request,Initial support for subclassing native types,https://github.com/micropython/micropython/pull/528,merged,1.0491986274719238,,,,
18660,mpremote REPL and mount issues with socket:// and RFC2217 connections,https://github.com/micropython/micropython/issues/18660,12500,pull_request,"mpremote: Add rfc2217, serial over tcp.",https://github.com/micropython/micropython/pull/12500,merged,1.0481549501419067,,,,
16829,docs: Please provide examples to show how to backup and restore the complete contents of flash.,https://github.com/micropython/micropython/issues/16829,9091,pull_request,mpremote: support 'cp :a :b',https://github.com/micropython/micropython/pull/9091,merged,1.033930778503418,,,,
18729,zephyr/mphalport: Scheduled callbacks not processed during time.sleep_ms() on TrustZone NS builds,https://github.com/micropython/micropython/issues/18729,7177,pull_request,zephyr: run async/scheduled events during REPL and sleep,https://github.com/micropython/micropython/pull/7177,merged,0.9888759255409241,,,,
18922,STM32 pyb.CAN: Instantiating one CAN instance can corrupts settings of another instance.,https://github.com/micropython/micropython/issues/18922,18946,pull_request,"stm32: Update pyb.CAN loopback unit tests for FDCAN, fix CAN2 filter bug",https://github.com/micropython/micropython/pull/18946,merged,0.9653497934341431,,,,
79,logo licenses,https://github.com/micropython/micropython/issues/79,140,pull_request,"Small graphic - Useful for WebBanners, etc...",https://github.com/micropython/micropython/pull/140,merged,0.945859968662262,,,,
6813,RP2040: floating point performance: switch to ROM libraries?,https://github.com/micropython/micropython/issues/6813,16783,pull_request,lib/pico-sdk: Update to version 2.1.1.,https://github.com/micropython/micropython/pull/16783,merged,0.9263972043991089,,,,
17547,mpy-cross: Assertion failed when compiling tests/basics/exception_chain.py.,https://github.com/micropython/micropython/issues/17547,18366,pull_request,mpy-cross: Make the debug emitter work again.,https://github.com/micropython/micropython/pull/18366,merged,0.9082944393157959,,,,
4895,ESP32 crashes when running uPy from ISR,https://github.com/micropython/micropython/issues/4895,17265,pull_request,ports/esp32: Fix crash and improve timer interrupt allocation,https://github.com/micropython/micropython/pull/17265,merged,0.9060404300689697,,,,
7847,PEP 634 Structural Pattern Matching (Python 3.10) support,https://github.com/micropython/micropython/issues/7847,10110,pull_request,doc: Add Python 3.10 page.,https://github.com/micropython/micropython/pull/10110,merged,0.8988581299781799,,,,
3667,esp8266: multi threading,https://github.com/micropython/micropython/issues/3667,2165,pull_request,"Multi-threading support: core, unix and cc3200",https://github.com/micropython/micropython/pull/2165,merged,0.8836349248886108,,,,
18851,Still no IPv4 Hostname advertisement with stock LwIP and stock mDNS IPv6 does however.,https://github.com/micropython/micropython/issues/18851,9058,pull_request,extmod/modnetwork: Add global hostname/LWIP-mDNS.,https://github.com/micropython/micropython/pull/9058,merged,0.8295465111732483,,,,
1700,Custom exception cannot be re-raised from called function,https://github.com/micropython/micropython/issues/1700,390,pull_request,vm: Save current active exception on opening new try block.,https://github.com/micropython/micropython/pull/390,merged,0.8190102577209473,,,,
6186,Pyboard D build does not include btree,https://github.com/micropython/micropython/issues/6186,16978,pull_request,esp32/esp32_common.cmake: Skip BTree module when requested.,https://github.com/micropython/micropython/pull/16978,merged,0.8087257146835327,,,,
2628,"Extend obj->iternext to handle not just __next__(), but also send() method",https://github.com/micropython/micropython/issues/2628,228,pull_request,Implement send() method for generators.,https://github.com/micropython/micropython/pull/228,merged,0.8029058575630188,,,,
17567,ESP32S3 4M Port missing. Partition table in Firmware in file is wrong,https://github.com/micropython/micropython/issues/17567,13759,pull_request,ports/esp32: add FLASHSIZE_4MB variant to ESP32_GENERIC_S3,https://github.com/micropython/micropython/pull/13759,merged,0.7981147766113281,,,,
7919,Discussion of Python 3.10 support,https://github.com/micropython/micropython/issues/7919,10110,pull_request,doc: Add Python 3.10 page.,https://github.com/micropython/micropython/pull/10110,merged,0.7896114587783813,,,,
8763,New CDC Driver required for Windows 7 due to changed VID_2341 & PID_025E,https://github.com/micropython/micropython/issues/8763,458,pull_request,Tweak pybcdc.inf to match recent changes to pybcdc.h,https://github.com/micropython/micropython/pull/458,merged,0.7853026390075684,,,,
16604,Emitted code epilogue block contains a superflous jump to the next available code address.,https://github.com/micropython/micropython/issues/16604,8773,pull_request,py/emit: Improve the logic to detect and eliminate dead code,https://github.com/micropython/micropython/pull/8773,merged,0.7809029817581177,,,,
8763,New CDC Driver required for Windows 7 due to changed VID_2341 & PID_025E,https://github.com/micropython/micropython/issues/8763,498,pull_request,Auto-generate the stmhal/pybcdc_inf header file from static files,https://github.com/micropython/micropython/pull/498,merged,0.7763741612434387,,,,
10999,SoftSPI: Implement 'bits' and 'firstbit' parameters,https://github.com/micropython/micropython/issues/10999,15436,pull_request,extmod/machine_spi.c: Support firstbit=machine.LSB for machine.SoftSPI.,https://github.com/micropython/micropython/pull/15436,merged,0.7601637840270996,,,,
18728,zephyr/machine_timer: Race condition calling machine_timer_deinit() from k_timer ISR context,https://github.com/micropython/micropython/issues/18728,16794,pull_request,zephyr: Create machine.Timer class implementation.,https://github.com/micropython/micropython/pull/16794,merged,0.7587844133377075,,,,
1546,RTC LSE/LSI selection,https://github.com/micropython/micropython/issues/1546,112,pull_request,Use LSI OSC for RTC clock when LSE is not detected,https://github.com/micropython/micropython/pull/112,merged,0.752579391002655,,,,
2929,VFS FatFS: mkdir with trailing slash fails when it should succeed,https://github.com/micropython/micropython/issues/2929,16164,pull_request,tools/mpremote: Support trailing slash on dest for non-recursive copy.,https://github.com/micropython/micropython/pull/16164,merged,0.7454148530960083,,,,
15781,"extmod/vfs_fat.c still uses _FS_REENTRANT, but lib/oofatfs now uses FF_FS_REENTRANT",https://github.com/micropython/micropython/issues/15781,3443,pull_request,extmod/vfs_fat: Mount FatFS on creation so VFS methods can be used.,https://github.com/micropython/micropython/pull/3443,merged,0.7380560636520386,,,,
16890,[webassembly] 'runPythonAsync' api missing { async: true } option.,https://github.com/micropython/micropython/issues/16890,11823,pull_request,ports/webassembly: Make mp_js_do_str and mp_js_process_char asynchronous.,https://github.com/micropython/micropython/pull/11823,merged,0.7375727295875549,,,,
12048,STM32H5 machine.ADC core temperature sensor not working,https://github.com/micropython/micropython/issues/12048,12152,pull_request,stm32/machine_adc: Add STM32H5 support.,https://github.com/micropython/micropython/pull/12152,merged,0.7340156435966492,,,,
18867,"tests: thread stress tests intermittent failures under QEMU (stress_aes, stress_recurse, stress_schedule)",https://github.com/micropython/micropython/issues/18867,18861,pull_request,tests/run-tests.py: Add automatic retry for known-flaky tests.,https://github.com/micropython/micropython/pull/18861,merged,0.7217520475387573,,,,
11099,Binary stdin and stdout buffers for Unix port,https://github.com/micropython/micropython/issues/11099,12091,pull_request,extmod/vfs_posix_file.c: Unix port stdio buffer enhancement,https://github.com/micropython/micropython/pull/12091,merged,0.7197940945625305,,,,
